호선,역명,지역(시),지역(구),지역(동),지가,지역(시),지역(구),지역(로),면적(㎡),카테고리,임대료,,
5호선,광화문역,서울특별시,종로구,도염동,14692868.85,서울특별시,종로구,세종대로,6.3,의류잡화,"1,600,000",,
5호선,광화문역,서울특별시,종로구,도염동,14692868.85,서울특별시,종로구,세종대로,849,사무실,"6,976,750",,
5호선,광화문역,서울특별시,종로구,도염동,14692868.85,서울특별시,종로구,세종대로,104.1,서점,"10,982,800",,
5호선,광화문역,서울특별시,종로구,도염동,14692868.85,서울특별시,종로구,세종대로,56,편의점,"25,342,583",,
6호선,광흥창역,서울특별시,마포구,창전동,4081228.112,서울특별시,마포구,독막로,50,소매업,"934,981",,
6호선,광흥창역,서울특별시,마포구,창전동,4081228.112,서울특별시,마포구,독막로,50,소매업,"934,981",,
6호선,광흥창역,서울특별시,마포구,창전동,4081228.112,서울특별시,마포구,독막로,106,소매업,"1,489,358",,
6호선,광흥창역,서울특별시,마포구,창전동,4081228.112,서울특별시,마포구,독막로,87,소매업,"1,626,868",,
6호선,광흥창역,서울특별시,마포구,창전동,4081228.112,서울특별시,마포구,독막로,32,소매업,"1,695,984",,
6호선,광흥창역,서울특별시,마포구,창전동,4081228.112,서울특별시,마포구,독막로,20,소매업,"1,962,944",,
6호선,광흥창역,서울특별시,마포구,창전동,4081228.112,서울특별시,마포구,독막로,44,소매업,"2,300,157",,
6호선,광흥창역,서울특별시,마포구,창전동,4081228.112,서울특별시,마포구,독막로,66,화장품,"2,366,071",,
6호선,광흥창역,서울특별시,마포구,창전동,4081228.112,서울특별시,마포구,독막로,25,화장품,"2,941,547",,
6호선,광흥창역,서울특별시,마포구,창전동,4081228.112,서울특별시,마포구,독막로,40,편의점,"5,471,602",,
3호선,교대역,서울특별시,서초구,서초동,8977855.86,서울특별시,서초구,서초대로,37.7,사무실,"452,700",,
2호선,교대역,서울특별시,서초구,서초동,8977855.86,서울특별시,서초구,서초대로,11,사무실,"470,000",,
3호선,교대역,서울특별시,서초구,서초동,8977855.86,서울특별시,서초구,서초대로,37.7,식품제과,"1,500,000",,
3호선,교대역,서울특별시,서초구,서초동,8977855.86,서울특별시,서초구,서초대로,37.7,식품제과,"1,533,300",,
2호선,교대역,서울특별시,서초구,서초동,8977855.86,서울특별시,서초구,서초대로,15,의류잡화,"2,977,646",,
2호선,교대역,서울특별시,서초구,서초동,8977855.86,서울특별시,서초구,서초대로,18,식품제과,"3,510,000",,
2호선,교대역,서울특별시,서초구,서초동,8977855.86,서울특별시,서초구,서초대로,29.28,의류잡화,"3,762,120",,
2호선,교대역,서울특별시,서초구,서초동,8977855.86,서울특별시,서초구,서초대로,28.05,의류잡화,"3,950,000",,
3호선,교대역,서울특별시,서초구,서초동,8977855.86,서울특별시,서초구,서초대로,113.1,편의점,"4,433,300",,
2호선,교대역,서울특별시,서초구,서초동,8977855.86,서울특별시,서초구,서초대로,15,식품제과,"8,196,400",,
2호선,교대역,서울특별시,서초구,서초동,8977855.86,서울특별시,서초구,서초대로,18.6,카페,"10,206,945",,
2호선,구로디지털역,서울특별시,구로구,구로동,2619361.61,서울특별시,구로구,도림천로,10.66,카페,"6,773,016",,
2호선,구로디지털역,서울특별시,구로구,구로동,2619361.61,서울특별시,구로구,도림천로,29,식품제과,"8,502,100",,
2호선,구로디지털역,서울특별시,구로구,구로동,2619361.61,서울특별시,구로구,도림천로,100.8,의류잡화,"14,000,700",,
6호선,구산역,서울특별시,은평구,구산동,2209657.231,서울특별시,은평구,연서로,30,의류잡화,"2,106,614",,
6호선,구산역,서울특별시,은평구,구산동,2209657.231,서울특별시,은평구,연서로,33,식품제과,"2,317,275",,
6호선,구산역,서울특별시,은평구,구산동,2209657.231,서울특별시,은평구,연서로,33,의류잡화,"2,317,275",,
6호선,구산역,서울특별시,은평구,구산동,2209657.231,서울특별시,은평구,연서로,58,화장품,"4,601,968",,
6호선,구산역,서울특별시,은평구,구산동,2209657.231,서울특별시,은평구,연서로,33.2,편의점,"7,210,770",,
2호선,구의역,서울특별시,광진구,구의동,3309120.032,서울특별시,광진구,아차산로,12.08,카페,"341,170",,
2호선,구의역,서울특별시,광진구,구의동,3309120.032,서울특별시,광진구,아차산로,20,의류잡화,"1,023,000",,
2호선,구의역,서울특별시,광진구,구의동,3309120.032,서울특별시,광진구,아차산로,50.46,화장품,"8,480,902",,
7호선,군자역,서울특별시,광진구,능동,3091363.86,서울특별시,광진구,천호대로,86.95,의류잡화,"3,196,209",,
7호선,군자역,서울특별시,광진구,능동,3091363.86,서울특별시,광진구,천호대로,50,화장품,"3,677,938",,
7호선,군자역,서울특별시,광진구,능동,3091363.86,서울특별시,광진구,천호대로,20,식품제과,"4,435,930",,
7호선,군자역,서울특별시,광진구,능동,3091363.86,서울특별시,광진구,천호대로,40,화장품,"4,905,294",,
7호선,군자역,서울특별시,광진구,능동,3091363.86,서울특별시,광진구,천호대로,55,화장품,"4,994,660",,
5호선,군자역,서울특별시,광진구,능동,3091363.86,서울특별시,광진구,천호대로,90.6,화장품,"7,050,000",,
5호선,군자역,서울특별시,광진구,능동,3091363.86,서울특별시,광진구,천호대로,44.67,화장품,"7,500,000",,
7호선,군자역,서울특별시,광진구,능동,3091363.86,서울특별시,광진구,천호대로,24.24,의류잡화,"8,400,200",,
7호선,군자역,서울특별시,광진구,능동,3091363.86,서울특별시,광진구,천호대로,54.82,편의점,"11,979,000",,
7호선,군자역,서울특별시,광진구,능동,3091363.86,서울특별시,광진구,천호대로,31,의류잡화,"13,022,172",,
7호선,군자역,서울특별시,광진구,능동,3091363.86,서울특별시,광진구,천호대로,32.7,의류잡화,"13,500,000",,
7호선,군자역,서울특별시,광진구,능동,3091363.86,서울특별시,광진구,천호대로,27,식품제과,"15,358,696",,
7호선,군자역,서울특별시,광진구,능동,3091363.86,서울특별시,광진구,천호대로,33,식품제과,"16,095,420",,
7호선,군자역,서울특별시,광진구,능동,3091363.86,서울특별시,광진구,천호대로,27,카페,"18,293,194",,
5호선,굽은다리역,서울특별시,강동구,명일동,3975409.598,서울특별시,강동구,양재대로,14.5,의류잡화,"999,990",,
5호선,굽은다리역,서울특별시,강동구,명일동,3975409.598,서울특별시,강동구,양재대로,23,의류잡화,"3,130,000",,
5호선,굽은다리역,서울특별시,강동구,명일동,3975409.598,서울특별시,강동구,양재대로,34.43,식품제과,"3,692,500",,
5호선,굽은다리역,서울특별시,강동구,명일동,3975409.598,서울특별시,강동구,양재대로,30,편의점,"5,299,388",,
3호선,금호역,서울특별시,성동구,금호동4가,3383240.279,서울특별시,성동구,동호로,18.61,소매업,"692,200",,
3호선,금호역,서울특별시,성동구,금호동5가,3383240.279,서울특별시,성동구,동호로,28,식품제과,"798,000",,
3호선,금호역,서울특별시,성동구,금호동6가,3383240.279,서울특별시,성동구,동호로,21,의류잡화,"893,000",,
3호선,금호역,서울특별시,성동구,금호동7가,3383240.279,서울특별시,성동구,동호로,25.3,편의점,"1,175,000",,
3호선,금호역,서울특별시,성동구,금호동8가,3383240.279,서울특별시,성동구,동호로,50.3,화장품,"3,559,459",,
5호선,길동역,서울특별시,강동구,길동,3729561.368,서울특별시,강동구,양재대로,31.82,편의점,"5,116,421",,
4호선,길음역,서울특별시,성북구,길음동,3347344.977,서울특별시,성북구,동소문로,20.04,화장품,"4,987,743",,
4호선,길음역,서울특별시,성북구,길음동,3347344.977,서울특별시,성북구,동소문로,100,식품제과,"6,436,000",,
5호선,김포공항역,서울특별시,강서구,방화동,2022212.487,서울특별시,강서구,하늘길,103.42,사무실,"1,045,000",,
5호선,김포공항역,서울특별시,강서구,방화동,2022212.487,서울특별시,강서구,하늘길,25.29,의류잡화,"3,300,070",,
5호선,김포공항역,서울특별시,강서구,방화동,2022212.487,서울특별시,강서구,하늘길,44.39,식품제과,"3,379,996",,
5호선,김포공항역,서울특별시,강서구,방화동,2022212.487,서울특별시,강서구,하늘길,25.29,의류잡화,"3,850,000",,
5호선,김포공항역,서울특별시,강서구,방화동,2022212.487,서울특별시,강서구,하늘길,53.15,의류잡화,"4,200,000",,
5호선,김포공항역,서울특별시,강서구,방화동,2022212.487,서울특별시,강서구,하늘길,53.97,카페,"4,984,100",,
5호선,김포공항역,서울특별시,강서구,방화동,2022212.487,서울특별시,강서구,하늘길,49.96,의류잡화,"5,059,554",,
5호선,김포공항역,서울특별시,강서구,방화동,2022212.487,서울특별시,강서구,하늘길,25.58,의류잡화,"5,120,000",,
5호선,김포공항역,서울특별시,강서구,방화동,2022212.487,서울특별시,강서구,하늘길,43.71,식품제과,"5,335,330",,
5호선,김포공항역,서울특별시,강서구,방화동,2022212.487,서울특별시,강서구,하늘길,32.34,편의점,"5,515,621",,
5호선,김포공항역,서울특별시,강서구,방화동,2022212.487,서울특별시,강서구,하늘길,44.47,소매업,"6,000,000",,
5호선,김포공항역,서울특별시,강서구,방화동,2022212.487,서울특별시,강서구,하늘길,21.53,의류잡화,"6,300,070",,
5호선,까치산역,서울특별시,강서구,화곡동,2502497.467,서울특별시,강서구,강서로,19.28,의류잡화,"7,674,176",,
5호선,까치산역,서울특별시,강서구,화곡동,2502497.467,서울특별시,강서구,강서로,36.85,식품제과,"8,896,100",,
5호선,까치산역,서울특별시,강서구,화곡동,2502497.467,서울특별시,강서구,강서로,37.82,편의점,"9,319,115",,
5호선,까치산역,서울특별시,강서구,화곡동,2502497.467,서울특별시,강서구,강서로,21.25,카페,"10,000,000",,
5호선,까치산역,서울특별시,강서구,화곡동,2502497.467,서울특별시,강서구,강서로,24.15,의류잡화,"10,130,000",,
5호선,까치산역,서울특별시,강서구,화곡동,2502497.467,서울특별시,강서구,강서로,30.72,화장품,"11,817,326",,
5호선,까치산역,서울특별시,강서구,화곡동,2502497.467,서울특별시,강서구,강서로,28.07,소매업,"12,773,147",,
5호선,까치산역,서울특별시,강서구,화곡동,2502497.467,서울특별시,강서구,강서로,46.76,의류잡화,"15,557,824",,
2호선,낙성대역,서울특별시,관악구,봉천동,2894106.435,서울특별시,관악구,남부순환로,20.94,편의점,"500,630",,
2호선,낙성대역,서울특별시,관악구,봉천동,2894106.435,서울특별시,관악구,남부순환로,16.7,의류잡화,"1,902,830",,
2호선,낙성대역,서울특별시,관악구,봉천동,2894106.435,서울특별시,관악구,남부순환로,21.28,편의점,"5,115,000",,
7호선,남구로역,서울특별시,구로구,구로동,2619361.61,서울특별시,구로구,도림로,22,의류잡화,"2,625,180",,
7호선,남구로역,서울특별시,구로구,구로동,2619361.61,서울특별시,구로구,도림로,43,화장품,"5,131,033",,
7호선,남구로역,서울특별시,구로구,구로동,2619361.61,서울특별시,구로구,도림로,32,화장품,"5,286,312",,
7호선,남구로역,서울특별시,구로구,구로동,2619361.61,서울특별시,구로구,도림로,40,화장품,"6,607,890",,
7호선,남구로역,서울특별시,구로구,구로동,2619361.61,서울특별시,구로구,도림로,33.67,편의점,"7,551,830",,
7호선,남성역,서울특별시,동작구,사당동,3136414.651,서울특별시,동작구,사당로,15,카페,"1,593,084",,
7호선,남성역,서울특별시,동작구,사당동,3136414.651,서울특별시,동작구,사당로,21,화장품,"2,321,440",,
7호선,남성역,서울특별시,동작구,사당동,3136414.651,서울특별시,동작구,사당로,26,식품제과,"2,874,164",,
7호선,남성역,서울특별시,동작구,사당동,3136414.651,서울특별시,동작구,사당로,45,화장품,"4,974,514",,
7호선,남성역,서울특별시,동작구,사당동,3136414.651,서울특별시,동작구,사당로,50,의류잡화,"5,310,281",,
7호선,남성역,서울특별시,동작구,사당동,3136414.651,서울특별시,동작구,사당로,45.25,편의점,"8,496,620",,
7호선,내방역,서울특별시,서초구,방배동,5231113.104,서울특별시,서초구,서초대로,34,의류잡화,"1,710,654",,
7호선,내방역,서울특별시,서초구,방배동,5231113.104,서울특별시,서초구,서초대로,28,화장품,"2,489,840",,
