,호선,역명,지역(시),지역(구),지역(동),지역(로),면적(㎡),카테고리,임대료,승객 수
233,7호선,내방역,서울특별시,서초구,방배동,서초대로,28.0,화장품,"2,489,840",10459644.0
234,7호선,내방역,서울특별시,서초구,방배동,서초대로,45.0,의류잡화,"4,200,000",10459644.0
235,7호선,내방역,서울특별시,서초구,방배동,서초대로,30.78,의류잡화,"4,211,869",10459644.0
236,7호선,내방역,서울특별시,서초구,방배동,서초대로,62.21,편의점,"13,549,360",10459644.0
237,7호선,노원역,서울특별시,노원구,상계동,상계로,52.0,사무실,"541,660",33448476.0
238,4호선,노원역,서울특별시,노원구,상계동,상계로,14.91,의류잡화,"559,380",33448476.0
239,7호선,노원역,서울특별시,노원구,상계동,상계로,17.0,식당,"2,349,954",33448476.0
240,7호선,노원역,서울특별시,노원구,상계동,상계로,24.0,의류잡화,"3,382,050",33448476.0
241,7호선,노원역,서울특별시,노원구,상계동,상계로,37.0,화장품,"4,032,817",33448476.0
242,7호선,노원역,서울특별시,노원구,상계동,상계로,40.0,화장품,"4,359,803",33448476.0
243,7호선,노원역,서울특별시,노원구,상계동,상계로,55.15,편의점,"17,204,550",33448476.0
244,7호선,노원역,서울특별시,노원구,상계동,상계로,36.4,식품제과,"27,943,265",33448476.0
245,3호선,녹번역,서울특별시,은평구,녹번동,통일로,12.65,식품제과,"418,000",8905495.0
246,3호선,녹번역,서울특별시,은평구,녹번동,통일로,19.3,식품제과,"512,000",8905495.0
247,3호선,녹번역,서울특별시,은평구,녹번동,통일로,23.9,식품제과,"522,600",8905495.0
248,3호선,녹번역,서울특별시,은평구,녹번동,통일로,29.3,식당,"755,800",8905495.0
249,3호선,녹번역,서울특별시,은평구,녹번동,통일로,13.47,의류잡화,"801,000",8905495.0
250,3호선,녹번역,서울특별시,은평구,녹번동,통일로,20.61,의류잡화,"823,000",8905495.0
251,6호선,녹사평역,서울특별시,용산구,용산동,녹사평대로,40.0,편의점,"8,687,609",5140392.0
252,7호선,논현역,서울특별시,강남구,논현동,학동로,29.0,카페,"2,022,349",14535273.0
253,7호선,논현역,서울특별시,강남구,논현동,학동로,25.0,식품제과,"2,133,410",14535273.0
254,7호선,논현역,서울특별시,강남구,논현동,학동로,46.0,의류잡화,"2,475,996",14535273.0
255,7호선,논현역,서울특별시,강남구,논현동,학동로,33.0,식품제과,"2,816,102",14535273.0
256,7호선,논현역,서울특별시,강남구,논현동,학동로,37.8,의류잡화,"3,530,000",14535273.0
257,7호선,논현역,서울특별시,강남구,논현동,학동로,35.0,의류잡화,"3,713,581",14535273.0
258,7호선,논현역,서울특별시,강남구,논현동,학동로,23.0,의류잡화,"3,720,000",14535273.0
259,7호선,논현역,서울특별시,강남구,논현동,학동로,50.0,화장품,"3,931,054",14535273.0
260,7호선,논현역,서울특별시,강남구,논현동,학동로,50.0,화장품,"3,931,054",14535273.0
261,7호선,논현역,서울특별시,강남구,논현동,학동로,75.0,소매업,"4,036,950",14535273.0
262,7호선,논현역,서울특별시,강남구,논현동,학동로,57.7,의류잡화,"5,189,834",14535273.0
263,7호선,논현역,서울특별시,강남구,논현동,학동로,29.92,식품제과,"5,482,433",14535273.0
264,7호선,논현역,서울특별시,강남구,논현동,학동로,30.0,의류잡화,"6,820,000",14535273.0
265,7호선,논현역,서울특별시,강남구,논현동,학동로,63.44,식품제과,"8,910,000",14535273.0
266,7호선,논현역,서울특별시,강남구,논현동,학동로,44.65,편의점,"10,937,960",14535273.0
